Commodity,Crop type,Item Code,Calories (per 100g),Protein (mg per g),Fat (mg per g)
"Bambara beans, dry",Pulse,203,365,177,63
Barley ,Cereal,44,332,120,18
"Beans, dry",Pulse,176,341,221,17
"Broad beans and horse beans, dry",Pulse,181,343,234,20
Buckwheat ,Break,89,330,120,20
"Cassava, fresh",Root,125,109,9,2
Cereals n.e.c.,Cereal,108,340,80,15
"Chick peas, dry",Pulse,191,358,201,45
"Cow peas, dry",Pulse,195,342,234,18
Fonio ,Break,94,338,80,30
"Groundnuts, excluding shelled",Pulse,242,414,187,359
Hempseed,Break,336,540,180,340
"Lentils , dry",Pulse,201,346,242,18
Linseed ,Break,333,498,180,340
Lupins ,Pulse,210,390,400,130
Maize (corn),Cereal,56,356,95,43
Millet ,Break,79,340,97,30
Mixed grain,Cereal,103,340,80,15
Oats ,Break,75,385,130,75
"Other oil seeds, n.e.c.",Break,339,387,147,317
"Onions and shallots, dry (excluding dehydrated)",Root,403,31,11,2
"Peas, dry",Pulse,187,346,225,18
"Pigeon peas, dry",Pulse,197,343,209,17
Poppy seed,Break,296,533,180,447
Potatoes ,Root,116,67,16,1
Other pulses n.e.c.,Pulse,211,340,220,20
"Pumpkins, squash and gourds",Root,394,19,9,1
Quinoa ,Break,92,342,120,50
Rape or colza seed,Break,270,494,196,450
Rice,Cereal,27,280,60,14
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Root,149,91,16,2
Rye ,Cereal,71,319,120,19
Sesame seed ,Break,289,573,177,497
Sorghum ,Break,83,343,101,33
Soya beans ,Pulse,236,335,380,180
Sugar beet,Root,157,70,13,1
Sunflower seed,Break,267,308,123,268
Sweet potatoes,Root,122,92,7,2
Triticale ,Cereal,97,327,116,21
Wheat ,Cereal,15,334,122,23
