COMMODITY,Calories (per 100g),Protein (mg per g),Fat (mg per g)
ALFALFA MEAL,265,305,20 
ALMONDS ,236,80,209 
ALMONDS SHELLED ,589,200,522 
ANISE ,345,158,149 
APPLE JUICE CONCENTRATED ,166,5,4 
APPLE JUICE SINGLE STRENGTH ,47,1,1 
APPLES ,48,1,3 
APRICOTS ,45,13,4 
ARECA NUTS ,245,49,44 
ARTICHOKES ,20,11,1 
ASPARAGUS ,12,16,1 
AVOCADOS ,119,15,113 
BACON PIGS ,362,131,341 
BAMBARA BEAN,365,177,63 
BANANAS ,60,7,3 
BARLEY ,332,120,18 
BARLEY FLOUR AND GRITS,343,92,17 
BARLEY PEARL,346,90,14 
BEANS DRY,341,221,17 
BEANS GREEN,50,30,4 
BEEF BONLESS,150,185,79 
BEEF CANNED ,233,250,140 
"BEEF DRIED, SALT, SMOKED ",203,343,63 
BEEF PREPARATIONS ,233,250,140 
BEEF VEAL ,225,147,180 
BEER BARLEY ,49,5,0 
BEER MAIZE ,40,4,0 
BEER MILLET ,40,4,0 
BEER SORGHUM,40,4,0 
BEET PULP DRY ,288,111,6 
BERRIES NES ,49,10,7 
BEVERAGES DISTILLED. ALCOHOLIC ,295,0,0 
BEVERAGES NON ALCOHOLIC,39,0,0 
BLUEBERRIES ,120,7,4 
BRAN RICE ,276,133,158 
BRAN WHEAT ,213,121,31 
BRAZIL NUTS ,315,69,318 
BRAZILNUT SHELLED,656,143,662 
BROAD BEANS GROUND ,23,23,1 
BROAD BEANS DRY,343,234,20 
BREAD ,249,82,12 
BREAKFEAST CERLEALS,389,74,7 
BUCKWHEAT ,330,120,20 
BUFFALO MEAT,77,113,31 
BUFFALO MILK,97,38,69 
BULGUR ,345,123,20 
BUTTER BUFFALO/td> ,717,9,811 
BUTTER SHEEP,716,6,810 
BUTTER COWS,717,9,811 
BUTTER GOAT,717,9,811 
BUTTER CURDLED MILK,75,30,52 
CABBAGES ,19,10,1 
CAKE OF GROUNDNUTS,363,417,76 
CAKE OF SESAME SEED ,376,407,34 
CAKE SOYBEAN,261,460,50 
CAMEL MILK ,73,38,45 
CANARY SEED ,388,160,60 
CANNED MUSHROOMS ,24,19,3 
CAROBS ,111,16,5 
CARROTS ,38,9,2 
CASEIN ,427,1000,0 
CASHEW NUTS ,252,77,206 
CASHEW SHE ,574,153,464 
CASHEWAPPLE ,43,8,6 
CASSAVA ,109,9,2 
CASSAVA DRIED ,212,28,7 
CASSAVA LEAVES,53,58,11 
CASSAVA STARCH,362,5,3 
CASSAVA TAPIOCA ,362,5,3 
CATTLE BUTCHER FAT,847,20,930 
CAULIFLOWER ,9,8,1 
CEREALS NES ,340,80,15 
CHEESE OF BUFFALO MILK,269,169,220 
CHEESE SKIM COW MILK,247,460,40 
CHEESE WHOLE COW MILK,387,250,310 
CHERRIES ,65,11,9 
CHESTNUTS ,158,18,17 
CHICK PEAS ,358,201,45 
CHICKEN MEAT,122,123,77 
CHICORY ROOT,60,11,2 
CHILLIES AND PEPPERS GRN,25,11,3 
CHOCOLATE PRODUCTS NS,393,42,357 
CINNAMON ,261,39,32 
CITRUS FRUIT NES,26,5,2 
CITRUS JUICE CONCENTRATED,157,21,5 
CITRUS JUICE SINGLE STRENGTH,47,6,2 
CLOVES ,323,60,201 
COCOA BEANS ,414,40,400 
COCOA BUTTER,711,0,850 
COCOA PASTE ,472,17,440 
COCOA POWDER,261,173,190 
COCONUTS ,184,17,174 
COCONUTS DESICATED,660,69,645 
COFFEE EXTR ,129,40,0 
COFFEE ROAST,56,80,0 
COFFEE SUBST,56,80,0 
COFFEE GREEN,47,67,0 
COPRA ,636,60,614 
COTTONSEED ,253,173,179 
COW MILK ,61,33,33 
COW PEASDRY,342,234,18 
COWMILK DRY ,496,263,267 
CRANBERRIES ,47,4,2 
CREAM FRESH,195,27,193 
CUCUMBERS AND GHERKINS,13,5,1 
CURRANTS ,59,14,3 
DATES ,156,15,4 
DRIED MUSHROOMS ,296,96,10 
DRY APRICOTS,238,37,5 
DRY BUTTERMILK,387,343,58 
DRY WHEY ,346,123,8 
DUCK MEAT ,291,83,283 
EGG ALBUMINE,49,101,0 
EGGPLANTS ,21,9,1 
EGGS DRY HEN,594,458,418 
EGGS LIQUID HEN ,158,121,112 
EGGS POULTRY,163,113,121 
EXTRACT TEA,18,45,0 
FAT POULTRY,629,37,680 
FAT BUFFALO ,847,20,930 
FAT CAMEL ,847,20,930 
FAT CATTLE ,847,20,930 
FAT LIVER PR,462,114,438 
FAT OF GOATS,847,20,930 
FAT OF SHEEP,902,0,1000 
"FAT, OTHER CAMELIDS",847,20,930 
FAT PIGS ,712,47,767 
FAT RENDERED POULTRY,901,0,998 
FATS PREP NS,720,6,810 
FERMENTED BEVERAGES,47,1,0 
FIGS ,73,8,3 
FIGS DRIED ,253,30,12 
FLOUR BUCKWHEAT,344,64,12 
FLOUR CASSAVA ,338,15,6 
FLOUR FONIO ,355,90,22 
FLOUR FRUIT ,346,39,18 
FLOUR MAIZE ,363,84,12 
FLOUR MILLET,340,97,30 
FLOUR MIX GRAIN,364,100,11 
FLOUR MUSTARD,469,264,363 
FLOUR POTATO ,355,85,4 
FLOUR PULSES,340,220,20 
"FLOUR, ROOTS TUBERS",282,50,6 
FLOUR RYE ,341,90,18 
FLOUR SORGHM,343,101,33 
FLOUR TRITICALE,341,114,21 
FLOUR WHEAT ,364,109,11 
FONIO ,338,80,30 
FOOD PREP ,41,12,5 
"FRUIT TROPICAL DRY, NES",267,28,6 
FROZEN POTATOES,73,12,0 
FRUIT TROPICAL NES,41,5,7 
FRUCTOSE CHE,375,0,0 
FRUIT DR NES,267,28,6 
FRUIT JUICE ,48,5,1 
FRUIT NES ,45,5,5 
"FRUIT PREPARED, NES",36,5,2 
FRUIT NUTS PRESERVED,212,6,0 
GAME MEAT ,104,180,30 
GARLIC ,130,120,4 
GERM MAIZE ,373,111,385 
GERM WHEAT ,382,291,107 
GHEE BUFFALO,873,3,991 
